1.9256e+06	7.5502e+03	0	8.4104e+03	167.6400	3.0771e+06	7.6129e+05	2.0872e+04	2.5885e+05	1.5152e+04	0	8.7178e+04	4.5819e+03	235.1100	798.6500	0	559.3700	0	0	0	0	916.4800	0	0	0	5.8657e+04	1.6656e+04	0	0	1.6964e+03	3.1228e+05	0	0	78.2100	0	0	0	0	0	0	1.9532e+04	0
3.8165e+04	3.0779e+05	1.0107e+03	2.3720e+04	1.7604e+04	9.3246e+04	4.3488e+03	648.5300	5.5950e+03	1.3561e+04	5.4778e+05	7.3821e+04	2.3548e+05	3.3200e+05	269.8000	3.6017e+03	2.7461e+03	392.7000	21.2300	6.1900	9.2769e+03	171.9300	1.0435e+06	2.0626e+04	321.5600	5.2666e+04	3.7741e+04	461.5900	0	0	8.0006e+04	0	0	22.2500	0	0	0	0	0	0	0	0
876.8100	3.0861e+03	35.5100	1.0313e+04	1.3993e+03	322.8400	10	0	0	900.2600	2.3787e+05	5.0875e+04	1.8507e+04	708.7400	2.2800	1.7076e+03	570.0800	0	7.1700	0	68.9600	0	1.9352e+03	2.4222e+05	0	0	0	0	0	0	6.9970e+03	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1.0205e+06	3.8737e+03	26.0900	0	0	0	0	3.7047e+04	1.3271e+05	3.9196e+03	3.3346e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.3275e+04	270.7200	16.0200	2.1963e+03	2.8180e+05	4.5585e+04	73.5300	1.8700	29.0800	73.8100	187.1800	3.6549e+05	2.1257e+05	7.4535e+04	5.5500	33.8600	40.0800	1.8400	0.0700	0	0	0	357.8500	0	3.8000	2.9238e+05	2.4148e+05	0	0	0	0	0	0	0	0	66.1900	46.7200	40.6000	659.4700	2.6378e+03	83.3900	0
1.5935e+06	0	0	0	0	1.2111e+06	0	0	0	781.7300	0	1.6480e+04	0	0	763.3100	193.9400	92.4700	0	0	0	0	149.9200	0	0	0	0	7.0762e+03	37.2300	0	9.0387e+03	5.9796e+05	0	0	59.0700	0	0	0	0	0	0	0	0
1.2391e+04	701.6900	86.6400	1.3341e+03	140.3100	8.2393e+03	4.6933e+05	1.0861e+05	414.7400	103.9000	322.5800	1.4181e+04	2.2361e+03	2.8604e+03	32.2100	672.2100	70.3500	375.2400	3.7000	0	69.5700	0.7100	465.2900	75.3800	6.3800	5.5153e+03	5.7770e+04	1.7000	0	6.0560e+03	2.1888e+03	430.4000	0	118.6600	39.3800	0	0	0	0	0	11.9900	0
2.6263e+03	5.2960e+03	1.0522e+03	4.5363e+03	786.6600	1.0016e+04	5.2241e+03	1.6482e+04	346.7800	287.8000	425.1000	3.5969e+03	2.0831e+03	4.6317e+03	21.5500	2.0916e+03	2.0378e+03	555.1000	187.2800	91.0200	8.1000	17.7800	3.0112e+03	390.3500	114.2000	8.3665e+03	1.8210e+05	607.3300	2.6440e+03	1.0067e+04	2.8666e+03	5.3577e+03	2.3278e+03	150.0600	4.7984e+03	12.7400	0	0	1.7542e+03	0	31.1900	366.5800
1.2342e+03	21471	79.3200	7.0745e+03	851.0700	5.9802e+03	324.4400	5.9600	2.2966e+05	2.0502e+04	1.0687e+03	3.3938e+03	1.0578e+04	2.3787e+03	54.2000	3.5527e+03	318.6700	6.5471e+03	53.0600	1.5727e+03	1.1532e+04	9.8400	2.1965e+03	182.8800	25.8500	8.3107e+04	1.2940e+05	495.6000	783.9600	4.4702e+04	9.3451e+03	5.3350e+03	0	1.1164e+03	3.4116e+04	1.3710e+03	963.7200	837.9300	1.3745e+04	5.4388e+04	2.3174e+03	0
987.5300	7.4657e+03	1.2376e+03	8.0632e+03	6.9125e+03	2.3790e+05	4.0446e+03	1.5615e+03	1.7377e+03	1.9547e+05	292.9100	1.6040e+04	8.0437e+03	4.9725e+03	80.7500	2.6371e+03	2.2105e+03	1.2444e+03	491.6700	168.6500	31.7500	106.2700	2.7455e+03	78.2800	258.4200	3.3764e+04	9.4396e+04	3.1913e+03	8.5132e+03	7.7198e+04	2.0363e+04	6.5218e+04	6.4942e+03	3.2016e+04	5.7695e+03	8.2372e+03	1.4172e+03	4.7997e+03	5.5819e+04	2.9348e+04	9.7917e+03	5.6535e+04
2.0357e+05	2.5903e+05	1.3040e+03	4.4709e+04	3.0823e+03	1.2104e+04	5.8321e+03	125.1000	1.4439e+03	2.0520e+03	6.8105e+04	1.4334e+05	9.8200e+04	282751	11.5600	1.4577e+04	2.9475e+03	1.4636e+03	159.8900	10.4900	1.7161e+03	17.1100	1.8699e+03	381.7500	174.7900	8.0455e+04	1.3110e+06	3.8715e+03	754.7900	1.9196e+04	7.2177e+03	1.8497e+04	2.0663e+03	2.7764e+04	8.4171e+03	1.1877e+04	9.4945e+03	6.7615e+03	3.8227e+03	5.6497e+03	3.0561e+03	5.0319e+04
7.9750e+05	1.7229e+05	1.0954e+04	9.9644e+04	1.4771e+04	2.9368e+05	9.4450e+03	1.5637e+04	2.3243e+04	2.6465e+04	3.5886e+03	8.1276e+05	3.5528e+05	1.2507e+05	296.8400	17844	7.3414e+04	1.7388e+04	654.9300	211.1100	1.1704e+03	28.9000	1.1720e+04	1.4714e+03	1.6532e+03	1.9132e+05	5.8973e+05	197.7400	0	2.9946e+04	1.4396e+04	8.3025e+03	1.8765e+03	859.7300	211.1800	2.8746e+03	850.0500	8.0792e+03	1.2595e+04	5.4009e+05	1.7312e+03	735.0300
