0.0015	0.0101	0.0055	0.003	0.05	0.0023	8.98E-04	0.002	0.0025	0.0035	4.05E-04	0.0085	0.0055	0.0065	0.1714	0.0836	0.0338	0.0323	0.0126	0.1393	0.0037	0.0041	8.86E-04	0.0107	0.0356	0.0103	0.0618	2.31E-05	0.0056	0.003	8.41E-05	5.25E-04	0.0015	5.88E-04	4.98E-05	0.0019	6.05E-04	6.95E-04	0.0027	0.0073	1.27E-04	0	
0.0147	0.0189	0.0236	0.0178	0.0036	0.0014	0.0024	0.002	0.0048	0.0038	8.76E-04	0.0109	0.0084	0.0082	0.0586	0.0602	0.0316	0.0051	2.94E-04	7.59E-04	5.47E-04	0.0024	0.0037	0.0036	0.0046	0.0654	0.0412	1.14E-04	0.012	0.0026	4.61E-05	0.0012	0	1.47E-04	5.59E-04	5.98E-04	1.86E-04	2.15E-04	0.0024	0.3665	7.50E-05	0	
1.46E-05	0.0034	0.0033	0.0032	0.0012	7.44E-04	5.65E-04	8.83E-04	0.0019	0.0014	1.72E-04	5.13E-04	0.0027	0.0012	0.0101	0.0214	0.4527	0.0017	5.20E-05	1.06E-04	3.16E-04	9.61E-04	6.36E-04	1.13E-04	0.0014	0.0038	0.0847	2.09E-04	0.0192	0.3732	0.0018	0.0023	0	0.0017	0.0016	6.92E-04	2.15E-04	2.48E-04	9.54E-04	0.0027	6.41E-04	0	
0.0047	0.0143	0.0069	0.0053	7.40E-04	5.46E-04	8.51E-04	0.0016	0.0021	0.0015	6.85E-04	8.97E-04	0.0025	0.0018	0.0073	0.0155	0.013	0.0461	0.0071	0.002	7.69E-04	0.0013	0.0038	0.0012	0.0045	0.0418	0.0492	1.85E-05	0.2058	0.0036	6.54E-05	1.76E-04	0	4.56E-04	3.40E-04	0.0036	0.0011	0.0013	0.005	0.0138	2.94E-04	0	
0	8.91E-04	0.0021	8.05E-04	0.0013	3.11E-04	8.10E-04	6.98E-04	4.88E-04	5.91E-04	1.72E-04	4.05E-04	9.52E-04	1.80E-04	2.67E-04	0.0015	6.07E-04	0.0312	0.5073	8.23E-04	2.01E-04	0.0014	5.00E-04	1.33E-04	7.10E-04	0.001	0.0479	3.39E-05	0.5859	0.0077	0.001	0.0031	2.87E-04	0.0066	8.20E-04	0.0054	5.39E-04	0.0018	0.004	0.0044	4.04E-04	0.0058	
0.0019	0.0023	0.0021	0.0016	5.02E-04	0.0013	2.96E-04	4.91E-04	6.00E-04	7.69E-04	5.89E-04	9.17E-04	0.0016	9.09E-04	2.72E-04	2.29E-04	0.0039	7.89E-04	0.0164	0.0026	1.14E-04	7.44E-04	5.40E-04	0.0016	0.0021	0.0082	0.0421	1.29E-05	0.0366	0.0026	3.32E-04	0.0015	4.22E-05	0.0011	1.83E-04	0.0013	2.34E-04	4.36E-04	0.0229	0.0025	1.77E-04	8.70E-04	
0	3.41E-04	1.37E-04	6.59E-04	6.02E-04	2.43E-04	2.97E-04	2.85E-04	8.60E-05	3.05E-04	1.37E-04	0.0202	2.84E-04	8.28E-04	5.12E-04	7.85E-04	3.78E-04	9.42E-04	7.23E-05	5.75E-04	7.09E-05	7.85E-04	7.02E-05	5.36E-05	6.27E-04	0.0033	0.005	0	0.0086	2.69E-05	4.96E-05	1.53E-04	3.36E-04	0.0042	2.08E-05	1.01E-04	2.55E-05	0.0031	3.33E-04	1.29E-04	5.20E-04	2.10E-04	
0	0	0	0	0	0	1.09E-04	0	0	0.0146	0	0.0024	0.003	0.0042	2.45E-04	0.0032	1.44E-06	0	0	0.0029	0	0.0734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0142	0.0231	0.0463	0.0344	0.0468	0.0136	0.0077	0.0196	0.012	0.0231	0.0499	0.1028	0.065	0.0845	0.0198	0.0389	0.0121	0.0213	0.0026	0.0082	0.0051	0.0157	0.2116	0.0047	0.1117	0.0086	0.0334	1.86E-04	0.2779	0.2216	0.0159	0.004	0.0047	0.0214	0.004	0.1381	0.0025	0.0107	0.0747	0.0312	0.0049	0.0955	
0	4.23E-06	0.0026	1.07E-04	4.73E-05	3.14E-04	0	0	0	0.001	2.70E-05	2.02E-04	5.49E-04	0.0038	4.59E-04	0.0015	8.08E-04	0	0	0	3.30E-05	0	1.49E-04	1.20E-04	0	0.0014	2.24E-04	2.69E-05	0	0	0.0041	0	0	1.85E-05	0	0	0	0	0	0	0	0	
7.23E-04	5.71E-04	0.0023	9.48E-04	0.001	5.48E-04	5.80E-04	0.0014	3.91E-04	0.0033	9.09E-04	8.18E-04	6.58E-04	3.03E-04	1.65E-04	4.20E-04	3.85E-04	2.36E-04	1.06E-04	4.64E-04	4.24E-04	7.94E-04	0.0012	5.93E-05	0.1095	7.28E-04	0.0049	2.52E-05	0.0411	0.0072	0.0033	7.06E-04	0.0013	4.68E-04	5.83E-04	0.0037	4.12E-05	0.0054	0.0114	0.007	2.07E-04	0.0143	
